8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
0.446427 0.000299844 0.41275 0.584871 0.00152498 0.000344921 0.000195605 8.57015e-06 4.9632e-06 
3.47549e-07 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 
0.00109396 0.0209612 0.0356105 0.466005 0.0828381 0.262948 0.13033 0.00130686 0 
0.000577843 0.0209612 0.0356105 0.466005 0.0828381 0.262948 0.13033 0.00130686 0 
0.000121434 0.306007 0.138603 0.12464 0.147076 0.101478 0.151931 0.0144612 0.0158039 
0.000113271 0.306007 0.138603 0.12464 0.147076 0.101478 0.151931 0.0144612 0.0158039 
5.40952e-09 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 
1.61481e-06 0.825 0.025 0.025 0.025 0.025 0.025 0.025 0.025 
5.91372e-06 0.825 0.025 0.025 0.025 0.025 0.025 0.025 0.025 
3.22839e-07 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 
